File,aid,Date,0,1,2,4,5,6
QA_2019131_aid0001,aid0001,2019-05-11,7248.0,2133.0,55895.0,16994,10528,530857
QA_2019132_aid0001,aid0001,2019-05-12,11209.0,2972.0,30928.0,13015,7309,558222
QA_2019133_aid0001,aid0001,2019-05-13,18164.0,7789.0,74916.0,6083,4128,512575
QA_2019134_aid0001,aid0001,2019-05-14,19890.0,12164.0,320593.0,4417,3303,263288
QA_2019135_aid0001,aid0001,2019-05-15,5950.0,1779.0,70755.0,18329,14937,511905
QA_2019136_aid0001,aid0001,2019-05-16,9462.0,5177.0,145397.0,14836,9805,438978
QA_2019137_aid0001,aid0001,2019-05-17,3782.0,3589.0,96145.0,20333,8646,491160
QA_2019138_aid0001,aid0001,2019-05-18,15595.0,5776.0,238458.0,8667,8438,346721
QA_2019139_aid0001,aid0001,2019-05-19,7262.0,4981.0,129398.0,16967,10008,455039
QA_2019140_aid0001,aid0001,2019-05-20,2808.0,3628.0,128785.0,21503,12150,454781
QA_2019141_aid0001,aid0001,2019-05-21,8209.0,5614.0,193702.0,16000,9286,390844
QA_2019142_aid0001,aid0001,2019-05-22,6427.0,4908.0,197577.0,17822,8562,388359
QA_2019143_aid0001,aid0001,2019-05-23,14898.0,4972.0,139489.0,9321,8066,446909
QA_2019144_aid0001,aid0001,2019-05-24,6990.0,5600.0,116524.0,17224,6573,470744
QA_2019145_aid0001,aid0001,2019-05-25,9122.0,3729.0,115289.0,15199,11821,468495
QA_2019146_aid0001,aid0001,2019-05-26,12672.0,5029.0,188271.0,11657,10909,395117
QA_2019147_aid0001,aid0001,2019-05-27,6481.0,4753.0,142706.0,17800,9214,442701
QA_2019148_aid0001,aid0001,2019-05-28,5863.0,4016.0,79911.0,18347,6522,508996
QA_2019149_aid0001,aid0001,2019-05-29,9321.0,2934.0,39821.0,14866,8952,547761
QA_2019150_aid0001,aid0001,2019-05-30,9190.0,4758.0,111123.0,15120,9839,473625
QA_2019151_aid0001,aid0001,2019-05-31,14069.0,4605.0,110519.0,10172,11052,473238
QA_2019152_aid0001,aid0001,2019-06-01,14873.0,4060.0,112893.0,9333,8918,473578
QA_2019153_aid0001,aid0001,2019-06-02,16395.0,4974.0,118397.0,7790,6130,469969
QA_2019154_aid0001,aid0001,2019-06-03,14110.0,2799.0,32187.0,10104,8700,555755
QA_2019155_aid0001,aid0001,2019-06-04,9633.0,1445.0,13620.0,14592,11533,572832
QA_2019156_aid0001,aid0001,2019-06-05,10263.0,1191.0,45691.0,14015,14538,537957
QA_2019157_aid0001,aid0001,2019-06-06,8674.0,3161.0,50952.0,15578,10661,534629
QA_2019158_aid0001,aid0001,2019-06-07,8097.0,3436.0,59170.0,16124,8394,528434
QA_2019159_aid0001,aid0001,2019-06-08,1426.0,223.0,8283.0,22757,10185,580781
QA_2019160_aid0001,aid0001,2019-06-09,3535.0,884.0,12832.0,20673,10687,575044
QA_2019161_aid0001,aid0001,2019-06-10,6852.0,1079.0,16427.0,17413,14400,567484
QA_2019162_aid0001,aid0001,2019-06-11,5411.0,1594.0,90568.0,18867,13237,493978
QA_2019163_aid0001,aid0001,2019-06-12,11706.0,4009.0,63939.0,12427,9600,521974
QA_2019164_aid0001,aid0001,2019-06-13,18131.0,4999.0,31371.0,6003,5429,557722
QA_2019165_aid0001,aid0001,2019-06-14,16221.0,3300.0,16757.0,8008,8273,571096
QA_2019166_aid0001,aid0001,2019-06-15,13388.0,4425.0,58033.0,10838,9951,527020
QA_2019167_aid0001,aid0001,2019-06-16,16457.0,4239.0,81087.0,7811,11367,502694
QA_2019168_aid0001,aid0001,2019-06-17,11753.0,2327.0,48972.0,12472,10757,537374
QA_2019169_aid0001,aid0001,2019-06-18,14775.0,1313.0,20301.0,9375,9427,568464
QA_2019170_aid0001,aid0001,2019-06-19,12900.0,908.0,7127.0,11288,10412,581020
QA_2019171_aid0001,aid0001,2019-06-20,12102.0,2351.0,22990.0,12066,10497,563649
QA_2019172_aid0001,aid0001,2019-06-21,5667.0,1673.0,42098.0,18613,14012,541592
QA_2019173_aid0001,aid0001,2019-06-22,4902.0,694.0,9552.0,19321,12909,576277
QA_2019174_aid0001,aid0001,2019-06-23,10472.0,829.0,8424.0,13585,11078,579267
QA_2019175_aid0001,aid0001,2019-06-24,18637.0,5327.0,21828.0,5581,5217,567065
QA_2019176_aid0001,aid0001,2019-06-25,14790.0,5254.0,73144.0,9358,6867,514242
QA_2019177_aid0001,aid0001,2019-06-26,6982.0,2208.0,33673.0,17307,13228,550257
QA_2019178_aid0001,aid0001,2019-06-27,4561.0,1757.0,36336.0,19672,13092,548237
QA_2019179_aid0001,aid0001,2019-06-28,6660.0,3386.0,66210.0,17689,10431,519279
QA_2019180_aid0001,aid0001,2019-06-29,9253.0,3984.0,95829.0,14989,6467,493133
QA_2019181_aid0001,aid0001,2019-06-30,8438.0,2231.0,4561.0,15860,9524,583041
QA_2019182_aid0001,aid0001,2019-07-01,2491.0,1048.0,28300.0,21779,13238,556799
QA_2019183_aid0001,aid0001,2019-07-02,1054.0,542.0,14536.0,23229,15033,569261
QA_2019184_aid0001,aid0001,2019-07-03,2314.0,1010.0,29431.0,21875,12009,557016
QA_2019185_aid0001,aid0001,2019-07-04,7809.0,1746.0,6197.0,16362,8945,582596
QA_2019186_aid0001,aid0001,2019-07-05,8739.0,1716.0,5825.0,15490,9593,582292
QA_2019187_aid0001,aid0001,2019-07-06,9188.0,2257.0,15034.0,14992,10626,571558
QA_2019188_aid0001,aid0001,2019-07-07,5707.0,2833.0,103539.0,18578,12940,480058
QA_2019189_aid0001,aid0001,2019-07-08,8776.0,2541.0,16737.0,15456,11124,569021
