,Date,LST,County_FIP
248,2020-12-25,280.1945454545455,033
306,2020-12-26,280.6494466936572,033
364,2020-12-27,276.05746951219515,033
422,2020-12-28,282.46312638135424,033
480,2020-12-29,280.48286995515696,033
538,2020-12-30,284.0769718164987,033
596,2020-12-31,277.2920859671303,033
17,2020-12-21,276.3561890631624,035
75,2020-12-22,270.8614444843694,035
133,2020-12-23,271.64010768593573,035
191,2020-12-24,271.3122727272727,035
249,2020-12-25,270.9323943661972,035
307,2020-12-26,273.77718681318686,035
365,2020-12-27,,035
423,2020-12-28,269.44551286742285,035
481,2020-12-29,267.31725815367605,035
539,2020-12-30,273.5840882474715,035
597,2020-12-31,271.1315030806706,035
18,2020-12-21,297.0276859734822,037
76,2020-12-22,295.10959730466874,037
134,2020-12-23,287.8421575433912,037
192,2020-12-24,,037
250,2020-12-25,291.94964838663003,037
308,2020-12-26,288.3908468872687,037
366,2020-12-27,286.2128205128205,037
424,2020-12-28,286.34391959798995,037
482,2020-12-29,286.3550534061239,037
540,2020-12-30,286.32295081967214,037
598,2020-12-31,286.48761837951594,037
19,2020-12-21,283.86712585034013,039
77,2020-12-22,278.98668472739587,039
135,2020-12-23,279.10299477016235,039
193,2020-12-24,,039
251,2020-12-25,,039
309,2020-12-26,285.0087005123428,039
367,2020-12-27,282.429356223176,039
425,2020-12-28,283.23361829025845,039
483,2020-12-29,277.02370440015045,039
541,2020-12-30,281.1559908361971,039
599,2020-12-31,274.3781742738589,039
20,2020-12-21,287.7831853785901,041
78,2020-12-22,285.53911975435,041
136,2020-12-23,285.3611250000001,041
194,2020-12-24,283.086817679558,041
252,2020-12-25,280.9865217391304,041
310,2020-12-26,286.0271098901099,041
368,2020-12-27,278.3612631578947,041
426,2020-12-28,284.2202283653846,041
484,2020-12-29,284.77719489981786,041
542,2020-12-30,285.97087681549226,041
600,2020-12-31,281.39653284671533,041
21,2020-12-21,286.3508122131311,043
79,2020-12-22,281.7974152046784,043
137,2020-12-23,281.53439939178924,043
195,2020-12-24,,043
253,2020-12-25,267.35777777777776,043
311,2020-12-26,283.7402792956891,043
369,2020-12-27,282.814358974359,043
427,2020-12-28,282.3626792963464,043
485,2020-12-29,277.5822296774194,043
543,2020-12-30,279.40742897727273,043
601,2020-12-31,278.4322495446266,043
22,2020-12-21,284.24396091811417,045
80,2020-12-22,280.86528166915053,045
138,2020-12-23,282.7443968028685,045
196,2020-12-24,280.48590123016584,045
254,2020-12-25,272.00901408450693,045
312,2020-12-26,281.106845168801,045
370,2020-12-27,279.0719506692736,045
428,2020-12-28,281.48606092047726,045
486,2020-12-29,278.2303578718193,045
544,2020-12-30,282.23526675786593,045
602,2020-12-31,275.8529454545454,045
23,2020-12-21,289.7974914481186,047
81,2020-12-22,,047
139,2020-12-23,284.46459854014597,047
197,2020-12-24,281.7853821656051,047
255,2020-12-25,279.09843137254904,047
313,2020-12-26,288.22758142466904,047
371,2020-12-27,285.9778512763596,047
429,2020-12-28,285.6937324263039,047
487,2020-12-29,284.7814669286182,047
545,2020-12-30,285.9693358633776,047
603,2020-12-31,283.8660480349345,047
24,2020-12-21,275.60105443798267,049
82,2020-12-22,270.58617207624934,049
140,2020-12-23,270.8107031676679,049
198,2020-12-24,272.2491819255759,049
256,2020-12-25,,049
314,2020-12-26,271.5526931781442,049
372,2020-12-27,268.62600000000003,049
430,2020-12-28,271.429864383476,049
488,2020-12-29,266.6658795860771,049
546,2020-12-30,274.12144371125777,049
604,2020-12-31,272.82063535911607,049
25,2020-12-21,279.2271108376549,051
83,2020-12-22,277.79862232118006,051
141,2020-12-23,274.477685504143,051
199,2020-12-24,,051
257,2020-12-25,269.8635407066052,051
315,2020-12-26,273.79534539892944,051
373,2020-12-27,271.41875000000005,051
431,2020-12-28,261.06340000000006,051
489,2020-12-29,265.8200175093018,051
547,2020-12-30,270.2709653233365,051
605,2020-12-31,268.0060184237462,051
