NDVI,LST,TA,Class
0.527705195,300.4191233,5,No_fire
0.523986514,305.9371053,5,No_fire
0.520267834,300.06624,5,No_fire
0.516549153,300.7250776,5,No_fire
0.512830473,290.89,5,No_fire
0.509111792,293.0277874,5,No_fire
0.505393112,295.1655749,5,No_fire
0.501674431,297.3033623,5,No_fire
0.497955751,293.5659365,5,No_fire
0.49423707,289.8285106,5,No_fire
0.49051839,291.9430508,5,No_fire
0.486799709,288.0913024,5,No_fire
0.483081029,298.8405131,5,No_fire
0.479362348,297.2186943,5,No_fire
0.475643668,300.9838036,5,No_fire
0.471924987,302.752241,5,No_fire
0.468960473,293.4292256,5,No_fire
0.465995958,297.3646521,5,No_fire
0.463031444,300.0357012,5,No_fire
0.460066929,307.16024,5,No_fire
0.457102415,300.9890979,5,No_fire
0.4541379,305.8654341,5,No_fire
0.451173386,308.0965546,5,No_fire
0.448208872,301.7879949,5,No_fire
0.445244357,308.2616108,5,No_fire
0.442279843,307.4392693,5,No_fire
0.439315328,313.7774008,5,No_fire
0.436350814,300.9511987,5,No_fire
0.433386299,306.9947088,5,No_fire
0.430421785,307.3097271,5,No_fire
0.427457271,310.9184003,9,No_fire
0.424492756,314.5270734,5,No_fire
0.423251898,312.4994985,5,No_fire
0.422011041,317.1314436,5,No_fire
0.420770183,305.1712277,8,No_fire
0.419529325,308.8990653,5,No_fire
0.418288468,307.6866981,5,No_fire
0.41704761,306.4743308,5,No_fire
0.415806753,309.220845,5,No_fire
0.414565895,311.5327211,5,No_fire
0.413325037,310.8069953,5,No_fire
0.41208418,301.3817096,5,No_fire
0.410843322,310.8675394,5,No_fire
0.409602464,306.72571,5,No_fire
0.408361607,310.917551,5,No_fire
0.407120749,305.61,5,No_fire
0.405879891,305.3975137,5,No_fire
0.404639034,305.1850274,5,No_fire
0.403528499,305.5783643,5,No_fire
0.402417965,305.9717011,5,No_fire
0.401307431,296.7184615,5,No_fire
0.400196897,310.8393241,5,No_fire
0.399086363,306.1662973,5,No_fire
0.397975829,306.7335065,5,No_fire
0.396865295,308.5942189,5,No_fire
0.395754761,305.8411809,5,No_fire
0.394644226,311.2382413,5,Fire
0.393533692,305.292167,5,No_fire
0.392423158,306.5116462,5,No_fire
0.391312624,302.4652577,5,No_fire
0.39020209,306.0643713,9,No_fire
